F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	min-5	mean-5	max-5	w-mean-5	ext2-5	
0.0670	3.6903e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0680	3.6864e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0690	3.6824e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0700	3.6785e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0710	3.6745e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0720	3.6705e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0730	3.6666e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0740	3.6626e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0750	3.6587e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.039	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0760	3.6547e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.039	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0770	3.6508e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.880	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0780	3.6468e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0790	3.6429e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.036	0.834	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0800	3.6389e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.036	0.834	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0810	3.6349e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0820	3.631e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0830	3.627e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.879	0.039	0.885	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0840	3.6231e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.878	0.039	0.885	0.902	0.902	0.920	0.026	0.896	0.905	0.905	0.913	0.025	
0.0850	3.6191e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.878	0.039	0.885	0.902	0.902	0.920	0.026	0.896	0.905	0.905	0.913	0.025	
0.0860	3.6152e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.878	0.039	0.885	0.902	0.902	0.920	0.026	0.896	0.905	0.905	0.913	0.025	
0.0870	3.6112e+006	0.891	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.898	0.037	0.834	0.854	0.854	0.878	0.039	0.885	0.902	0.902	0.920	0.026	0.896	0.905	0.905	0.913	0.025	
