F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	
0.8379	6.4101e+005	0.360	0.615	0.615	0.877	0.121	0.266	0.633	0.633	0.907	0.123	0.217	0.608	0.608	0.944	0.137	0.254	0.602	0.602	0.924	0.134	
0.8389	6.3706e+005	0.359	0.614	0.614	0.877	0.121	0.264	0.632	0.632	0.906	0.123	0.216	0.607	0.607	0.944	0.137	0.253	0.601	0.601	0.924	0.135	
0.8399	6.331e+005	0.357	0.613	0.613	0.876	0.122	0.263	0.631	0.631	0.906	0.124	0.215	0.606	0.606	0.944	0.138	0.251	0.599	0.599	0.924	0.136	
0.8409	6.2915e+005	0.356	0.611	0.611	0.876	0.122	0.261	0.630	0.630	0.906	0.124	0.214	0.605	0.605	0.944	0.138	0.250	0.598	0.598	0.924	0.136	
0.8419	6.2519e+005	0.354	0.610	0.610	0.876	0.123	0.259	0.628	0.628	0.906	0.125	0.213	0.604	0.604	0.944	0.139	0.249	0.597	0.597	0.924	0.137	
0.8429	6.2124e+005	0.353	0.609	0.609	0.875	0.123	0.258	0.627	0.627	0.906	0.125	0.212	0.603	0.603	0.944	0.139	0.247	0.596	0.596	0.924	0.137	
0.8439	6.1728e+005	0.352	0.607	0.607	0.875	0.124	0.256	0.626	0.626	0.906	0.126	0.211	0.602	0.602	0.943	0.140	0.246	0.594	0.594	0.924	0.138	
0.8449	6.1333e+005	0.350	0.606	0.606	0.875	0.124	0.254	0.625	0.625	0.906	0.127	0.209	0.601	0.601	0.943	0.140	0.244	0.593	0.593	0.924	0.138	
0.8459	6.0937e+005	0.349	0.605	0.605	0.874	0.125	0.253	0.624	0.624	0.906	0.127	0.208	0.600	0.600	0.943	0.141	0.243	0.592	0.592	0.924	0.139	
0.8469	6.0542e+005	0.347	0.603	0.603	0.874	0.125	0.251	0.622	0.622	0.906	0.128	0.207	0.599	0.599	0.943	0.141	0.242	0.591	0.591	0.924	0.140	
0.8479	6.0146e+005	0.346	0.602	0.602	0.873	0.126	0.249	0.621	0.621	0.906	0.128	0.206	0.598	0.598	0.943	0.142	0.240	0.589	0.589	0.924	0.140	
0.8489	5.9751e+005	0.344	0.601	0.601	0.873	0.127	0.248	0.620	0.620	0.906	0.129	0.205	0.596	0.596	0.943	0.143	0.239	0.588	0.588	0.924	0.141	
0.8499	5.9355e+005	0.343	0.599	0.599	0.873	0.127	0.246	0.619	0.619	0.906	0.129	0.204	0.595	0.595	0.943	0.143	0.237	0.587	0.587	0.924	0.141	
0.8509	5.896e+005	0.341	0.598	0.598	0.872	0.128	0.244	0.617	0.617	0.906	0.130	0.203	0.594	0.594	0.942	0.144	0.236	0.586	0.586	0.924	0.142	
0.8519	5.8564e+005	0.340	0.597	0.597	0.872	0.128	0.243	0.616	0.616	0.906	0.131	0.201	0.593	0.593	0.942	0.144	0.234	0.584	0.584	0.924	0.143	
0.8529	5.8169e+005	0.339	0.595	0.595	0.871	0.129	0.241	0.615	0.615	0.906	0.131	0.200	0.592	0.592	0.942	0.145	0.233	0.583	0.583	0.924	0.143	
0.8539	5.7773e+005	0.337	0.594	0.594	0.871	0.129	0.239	0.614	0.614	0.906	0.132	0.199	0.591	0.591	0.942	0.145	0.232	0.582	0.582	0.923	0.144	
0.8549	5.7378e+005	0.336	0.592	0.592	0.870	0.130	0.238	0.612	0.612	0.906	0.133	0.198	0.589	0.589	0.942	0.146	0.230	0.580	0.580	0.923	0.145	
0.8559	5.6982e+005	0.334	0.591	0.591	0.870	0.130	0.236	0.611	0.611	0.906	0.133	0.197	0.588	0.588	0.942	0.146	0.229	0.579	0.579	0.923	0.145	
0.8569	5.6587e+005	0.333	0.590	0.590	0.869	0.131	0.234	0.610	0.610	0.906	0.134	0.196	0.587	0.587	0.941	0.147	0.227	0.578	0.578	0.923	0.146	
0.8579	5.6191e+005	0.331	0.588	0.588	0.869	0.132	0.233	0.608	0.608	0.906	0.134	0.195	0.586	0.586	0.941	0.148	0.226	0.577	0.577	0.923	0.147	
